Absolute Module Path,Module Position,Module Declaration,Module Complexity
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,419,void fail(String exception_expected),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,6,void method1a(),3
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,20,void method1b(),4
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,36,void method2a(),3
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,45,void method2b(),3
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,54,void method3a(MainClass o1),1
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,61,void method3b(MainClass o1),1
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,66,void method4a(),2
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,74,void method4b(),2
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,82,void method5a(),1
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,90,void method5b(),1
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,98,void method5c(),1
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\MainClass.java,106,void main(String[] args),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\project1.java,6,void main(String[] args),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\project1.java,9,void main01(String[] args),1
